"","variable","ols_coefficient","lasso_coefficient"
"205","f_municipioMunicipio2:d_games",NA,-0.84646143656928
"206","f_municipioMunicipio2:d_gym",NA,-10.131002240773
"207","f_municipioMunicipio2:d_hottub",NA,-0.0764240748931484
"208","f_municipioMunicipio2:d_keypad",NA,1.05860154297814
"209","f_municipioMunicipio2:d_luggagedropoffallowed",NA,0.613575625411592
"210","f_municipioMunicipio2:d_outdoorfurniture",NA,-0.375197614791794
"211","f_municipioMunicipio2:d_oven",NA,0.973339964547597
"212","f_municipioMunicipio2:d_petsallowed",NA,0.155981725898845
"213","f_municipioMunicipio2:d_piano",NA,0.586578287857989
"214","f_municipioMunicipio2:d_pool",NA,-0.505025987967776
"215","f_municipioMunicipio2:d_privateentrance",NA,-1.36115869357742
"216","f_municipioMunicipio2:d_privatelivingroom",NA,0.679833417751108
"217","f_municipioMunicipio2:d_readingmaterial",NA,2.12912748098945
"218","f_municipioMunicipio2:d_reservedparking",NA,0.684058813966008
"219","f_municipioMunicipio2:d_security",NA,-1.07098802420764
"220","f_municipioMunicipio2:d_soundsystem",NA,1.55994227106582
"221","f_municipioMunicipio2:d_specialview",NA,-0.161840138094234
"222","f_municipioMunicipio2:d_stove",NA,0.439260631563586
"223","f_municipioMunicipio2:d_table",NA,0.103698091624721
"224","f_municipioMunicipio2:d_tv",NA,0.394804290970486
"225","f_municipioMunicipio2:d_wifi",NA,0.00717388835839493
"226","f_municipioMunicipio3",-50.8945729023587,-3.4531401114559
"227","f_municipioMunicipio3:d_ac",NA,-4.33631582431039
"228","f_municipioMunicipio3:d_babykit",NA,-1.55423567608861
"229","f_municipioMunicipio3:d_bathroomessentials",NA,0.0144064535714993
"230","f_municipioMunicipio3:d_bathtub",NA,0.922203461387309
"231","f_municipioMunicipio3:d_bedroomessentials",NA,-0.985125383601319
"232","f_municipioMunicipio3:d_bikes",NA,0.970646379870056
"233","f_municipioMunicipio3:d_buildingstaff",NA,-0.24527304268142
"234","f_municipioMunicipio3:d_cleaningavailableduringstay",NA,0.99640660530945
"235","f_municipioMunicipio3:d_elevator",NA,-2.59541767793502
"236","f_municipioMunicipio3:d_ethernetconnection",NA,0.209680774370029
"237","f_municipioMunicipio3:d_evcharger",NA,-1.8296386284184
"238","f_municipioMunicipio3:d_externallaundry",NA,1.1735272436433
"239","f_municipioMunicipio3:d_firepit",NA,-1.94278905044405
"240","f_municipioMunicipio3:d_games",NA,-0.332545784368896
